"Data","Q Negs","Q Títs","Volume$","Fechamento","Abertura","Mínimo","Máximo","Médio"
"12/02/2007",1,20000,10000,"0,18874314804","0,18874314804","0,18874314804","0,18874314804","0,18874314804"
"14/02/2007",4,65419,"32257,41","0,18119342211","0,18874314804","0,18119342211","0,18874314804","0,18496828508"
"15/02/2007",3,31100,14950,"0,18981083398","0,18221840062","0,18221840062","0,18981083398","0,18221840062"
"16/02/2007",7,37287,"16950,63","0,1860146173","0,17842218394","0,17082975058","0,1860146173","0,17082975058"
"21/02/2007",1,20000,9200,"0,17462596726","0,17462596726","0,17462596726","0,17462596726","0,17462596726"
"22/02/2007",1,4500,2160,"0,18221840062","0,18221840062","0,18221840062","0,18221840062","0,18221840062"
"23/02/2007",2,30500,13730,"0,17082975058","0,17462596726","0,17082975058","0,17462596726","0,17082975058"
"02/03/2007",2,47338,"21302,1","0,17082975058","0,17082975058","0,17082975058","0,17082975058","0,17082975058"
"05/03/2007",2,4400,"2022,12","0,17082975058","0,18221840062","0,17082975058","0,18221840062","0,17462596726"
"07/03/2007",1,160,80,"0,18981083398","0,18981083398","0,18981083398","0,18981083398","0,18981083398"
"08/03/2007",1,20,10,"0,18981083398","0,18981083398","0,18981083398","0,18981083398","0,18981083398"
"09/03/2007",1,500,225,"0,17082975058","0,17082975058","0,17082975058","0,17082975058","0,17082975058"
"14/03/2007",2,7101,"3546,5","0,18981083398","0,17462596726","0,17462596726","0,18981083398","0,18981083398"
"15/03/2007",4,17010,7929,"0,17550348468","0,19076465726","0,17550348468","0,19076465726","0,17931877783"
"16/03/2007",1,1000,430,"0,16405760525","0,16405760525","0,16405760525","0,16405760525","0,16405760525"
"19/03/2007",1,31350,"14734,5","0,17931877783","0,17931877783","0,17931877783","0,17931877783","0,17931877783"
"20/03/2007",2,17461,"8206,67","0,17931877783","0,17931877783","0,17931877783","0,17931877783","0,17931877783"
"21/03/2007",4,53592,26796,"0,19076465726","0,19076465726","0,19076465726","0,19076465726","0,19076465726"
"23/03/2007",1,17,"10,2","0,22891758872","0,22891758872","0,22891758872","0,22891758872","0,22891758872"
"26/03/2007",1,50,30,"0,22891758872","0,22891758872","0,22891758872","0,22891758872","0,22891758872"
"28/03/2007",1,75,45,"0,22891758872","0,22891758872","0,22891758872","0,22891758872","0,22891758872"
"30/03/2007",4,30625,19900,"0,25180934759","0,23654817501","0,23654817501","0,25180934759","0,24799405444"
"09/04/2007",2,2425,"1624,3","0,25562464073","0,25180934759","0,25180934759","0,25562464073","0,25562464073"
"16/04/2007",1,121,"79,86","0,25180934759","0,25180934759","0,25180934759","0,25180934759","0,25180934759"
"17/04/2007",1,6000,3780,"0,24175539314","0,24175539314","0,24175539314","0,24175539314","0,24175539314"
"18/04/2007",1,10000,6300,"0,24175539314","0,24175539314","0,24175539314","0,24175539314","0,24175539314"
"19/04/2007",2,29739,"17248,62","0,22256845718","0,22256845718","0,22256845718","0,22256845718","0,22256845718"
"20/04/2007",1,27620,"16295,8","0,22640584437","0,22640584437","0,22640584437","0,22640584437","0,22640584437"
"23/04/2007",7,12804,"7219,4","0,2110562956","0,22640584437","0,2110562956","0,22640584437","0,21489368279"
"04/05/2007",3,3201,"2112,66","0,25326755472","0,25326755472","0,25326755472","0,25326755472","0,25326755472"
"08/05/2007",4,3550,2310,"0,24943016753","0,24943016753","0,24943016753","0,25326755472","0,24943016753"
"09/05/2007",2,736,479,"0,24943016753","0,25326755472","0,24943016753","0,25326755472","0,24943016753"
"16/05/2007",1,1250,825,"0,25499366569","0,25499366569","0,25499366569","0,25499366569","0,25499366569"
"17/05/2007",5,6872,"4528,76","0,2511301253","0,25499366569","0,2511301253","0,25499366569","0,25499366569"
"18/05/2007",1,1320,"831,6","0,24340304452","0,24340304452","0,24340304452","0,24340304452","0,24340304452"
"21/05/2007",1,2000,1260,"0,24340304452","0,24340304452","0,24340304452","0,24340304452","0,24340304452"
"22/05/2007",2,3000,1860,"0,23953950413","0,23953950413","0,23953950413","0,23953950413","0,23953950413"
"23/05/2007",4,2112,"1289,44","0,23181242335","0,23953950413","0,23181242335","0,23953950413","0,23567596374"
"25/05/2007",2,1106,"665,72","0,23953950413","0,23181242335","0,23181242335","0,23953950413","0,23181242335"
"28/05/2007",5,62278,"37366,8","0,23181242335","0,23181242335","0,23181242335","0,23181242335","0,23181242335"
"29/05/2007",2,8361,"5016,6","0,23181242335","0,23181242335","0,23181242335","0,23181242335","0,23181242335"
"30/05/2007",7,96409,"57231,31","0,23181242335","0,22794888296","0,22794888296","0,23181242335","0,22794888296"
"01/06/2007",1,13250,"7817,5","0,22794888296","0,22794888296","0,22794888296","0,22794888296","0,22794888296"
"04/06/2007",8,226379,"129036,03","0,22022180219","0,22022180219","0,22022180219","0,22022180219","0,22022180219"
"08/06/2007",1,5260,3156,"0,23181242335","0,23181242335","0,23181242335","0,23181242335","0,23181242335"
"11/06/2007",2,10000,"5947,4","0,22794888296","0,23181242335","0,22794888296","0,23181242335","0,22794888296"
"14/06/2007",1,10,"6,5","0,2511301253","0,2511301253","0,2511301253","0,2511301253","0,2511301253"
"15/06/2007",3,5045,"3279,25","0,25299842133","0,25299842133","0,25299842133","0,25299842133","0,25299842133"
"18/06/2007",9,84360,"56068,23","0,28802897198","0,25299842133","0,25299842133","0,28802897198","0,25689070474"
"19/06/2007",7,2985,"2110,5","0,27245983836","0,28802897198","0,27245983836","0,28802897198","0,27635212176"
"20/06/2007",1,110,"78,1","0,27635212176","0,27635212176","0,27635212176","0,27635212176","0,27635212176"
"21/06/2007",19,34920,24779,"0,25689070474","0,3035981056","0,25689070474","0,3035981056","0,27635212176"
"22/06/2007",2,2502,"1651,44","0,25689070474","0,3035981056","0,25689070474","0,3035981056","0,25689070474"
"25/06/2007",2,2499,"1749,3","0,27245983836","0,27245983836","0,27245983836","0,27245983836","0,27245983836"
"26/06/2007",2,4310,"3086,3","0,27245983836","0,28413668858","0,27245983836","0,28413668858","0,28024440517"
"28/06/2007",2,5000,3500,"0,27245983836","0,27245983836","0,27245983836","0,27245983836","0,27245983836"
"29/06/2007",6,20421,"14005,42","0,26078298814","0,27245983836","0,26078298814","0,27245983836","0,26856755495"
"02/07/2007",2,4914,"3439,8","0,27245983836","0,27245983836","0,27245983836","0,27245983836","0,27245983836"
"03/07/2007",1,120,84,"0,27245983836","0,27245983836","0,27245983836","0,27245983836","0,27245983836"
"04/07/2007",3,3070,2069,"0,25689070474","0,27245983836","0,25689070474","0,27245983836","0,26078298814"
"05/07/2007",1,71,"49,7","0,27245983836","0,27245983836","0,27245983836","0,27245983836","0,27245983836"
"06/07/2007",9,32526,"21866,88","0,27245983836","0,27245983836","0,26078298814","0,27245983836","0,26078298814"
"11/07/2007",3,17130,"11487,1","0,26078298814","0,26467527155","0,26078298814","0,26467527155","0,26078298814"
"12/07/2007",1,100,70,"0,27245983836","0,27245983836","0,27245983836","0,27245983836","0,27245983836"
"13/07/2007",1,60,42,"0,27245983836","0,27245983836","0,27245983836","0,27245983836","0,27245983836"
"17/07/2007",2,6000,4200,"0,27438050187","0,27438050187","0,27438050187","0,27438050187","0,27438050187"
"18/07/2007",2,8000,5440,"0,26654105896","0,26654105896","0,26654105896","0,26654105896","0,26654105896"
"20/07/2007",4,16070,"11248,3","0,27046078042","0,27438050187","0,27046078042","0,27438050187","0,27438050187"
"23/07/2007",1,704,"492,8","0,27438050187","0,27438050187","0,27438050187","0,27438050187","0,27438050187"
"24/07/2007",2,9930,"6891,7","0,27046078042","0,27438050187","0,27046078042","0,27438050187","0,27046078042"
"26/07/2007",3,22008,"14765,36","0,26262133751","0,26654105896","0,26262133751","0,26654105896","0,26262133751"
"27/07/2007",9,54938,"34491,7","0,23910300877","0,26262133751","0,23910300877","0,26262133751","0,24694245169"
"03/08/2007",2,730,"489,26","0,27046078042","0,26262133751","0,26262133751","0,27046078042","0,26262133751"
"07/08/2007",2,15255,"10393,4","0,27046078042","0,26654105896","0,26654105896","0,27046078042","0,26654105896"
"08/08/2007",3,11745,"8104,05","0,27046078042","0,27046078042","0,27046078042","0,27046078042","0,27046078042"
"09/08/2007",2,18000,12240,"0,26654105896","0,26654105896","0,26654105896","0,26654105896","0,26654105896"
"10/08/2007",1,959,"652,12","0,26654105896","0,26654105896","0,26654105896","0,26654105896","0,26654105896"
"14/08/2007",1,670,469,"0,27438050187","0,27438050187","0,27438050187","0,27438050187","0,27438050187"
"15/08/2007",6,30000,21000,"0,2767526676","0,2767526676","0,2767526676","0,2767526676","0,2767526676"
"16/08/2007",2,5050,3535,"0,2767526676","0,2767526676","0,2767526676","0,2767526676","0,2767526676"
"20/08/2007",2,6000,4140,"0,26884544852","0,2767526676","0,26884544852","0,2767526676","0,27279905806"
"21/08/2007",4,54139,"36874,3","0,26884544852","0,2767526676","0,26884544852","0,2767526676","0,26884544852"
"23/08/2007",2,2000,1400,"0,2767526676","0,2767526676","0,2767526676","0,2767526676","0,2767526676"
"24/08/2007",2,30704,"20888,72","0,26884544852","0,27279905806","0,26884544852","0,27279905806","0,26884544852"
"27/08/2007",7,74666,"52759,06","0,2767526676","0,2767526676","0,2767526676","0,28070627713","0,28070627713"
"25/09/2007",12,76704,"55699,84","0,29895506366","0,29895506366","0,28301079359","0,29895506366","0,29098292862"
"26/09/2007",2,5967,"4471,88","0,29496899614","0,29895506366","0,29496899614","0,29895506366","0,29895506366"
"28/09/2007",2,5014,"3810,64","0,30294113117","0,30294113117","0,30294113117","0,30294113117","0,30294113117"
"03/10/2007",4,28250,"20027,17","0,28301079359","0,28301079359","0,24713618596","0,28301079359","0,28301079359"
"04/10/2007",4,21500,15265,"0,28301079359","0,28301079359","0,28301079359","0,28301079359","0,28301079359"
"08/10/2007",1,2350,1598,"0,27105259105","0,27105259105","0,27105259105","0,27105259105","0,27105259105"
"09/10/2007",2,11900,8449,"0,28301079359","0,28301079359","0,28301079359","0,28301079359","0,28301079359"
"10/10/2007",7,31136,"21995,2","0,27902472608","0,28301079359","0,27902472608","0,28301079359","0,28301079359"
"11/10/2007",4,53100,"37408,64","0,27902472608","0,27902472608","0,27902472608","0,28301079359","0,27902472608"
"15/10/2007",1,23864,"16704,8","0,28163995423","0,28163995423","0,28163995423","0,28163995423","0,28163995423"
"16/10/2007",3,52700,37417,"0,28566338214","0,28566338214","0,28566338214","0,28566338214","0,28566338214"
"17/10/2007",1,2100,1491,"0,28566338214","0,28566338214","0,28566338214","0,28566338214","0,28566338214"
"18/10/2007",4,53636,"37102,48","0,27359309839","0,28566338214","0,27359309839","0,28566338214","0,27761652631"
"22/10/2007",7,130568,"91957,6","0,28163995423","0,28566338214","0,28163995423","0,28566338214","0,28163995423"
"23/10/2007",1,10000,7000,"0,28163995423","0,28163995423","0,28163995423","0,28163995423","0,28163995423"
"24/10/2007",1,10000,7100,"0,28566338214","0,28566338214","0,28566338214","0,28566338214","0,28566338214"
"26/10/2007",2,30704,"21819,84","0,28566338214","0,28968681006","0,28566338214","0,28968681006","0,28566338214"
"31/10/2007",1,140,"110,6","0,31785080548","0,31785080548","0,31785080548","0,31785080548","0,31785080548"
"01/11/2007",3,20031,"14624,43","0,29371023798","0,29371023798","0,29371023798","0,30578052173","0,29371023798"
"06/11/2007",3,1767,"1349,64","0,31382737757","0,30175709381","0,30175709381","0,31382737757","0,30578052173"
"08/11/2007",3,23507,"18102,26","0,30980394965","0,31382737757","0,30980394965","0,31382737757","0,30980394965"
"09/11/2007",3,30704,"22765,96","0,2977336659","0,30980394965","0,2977336659","0,30980394965","0,2977336659"
